artist_name,number_of_songs,avg_track_popularity,avg_track_duration,artist_popularity,explicit_songs,artist_labels,explicit_dependency
Taylor Swift,324,60.05,3.9,100,46,"['country', 'pop', 'indie', 'folk']",14.2
Bad Bunny,56,73.34,3.65,95,45,"['reggaeton', 'trap latino', 'urbano latino', 'latin']",80.36
Drake,84,65.89,3.88,95,73,['rap'],86.9
The Weeknd,141,60.79,4.38,93,70,"['r&b pop', 'alternative r&b', 'hip hop', 'synthpop']",49.65
Justin Bieber,55,66.27,3.0,91,10,"['pop', 'contemporary r&b']",18.18
Sabrina Carpenter,34,79.5,3.05,91,23,['pop'],67.65
Ariana Grande,94,63.91,3.32,90,39,['pop'],41.49
Rihanna,52,65.58,3.88,90,17,"['pop', 'r&b']",32.69
Billie Eilish,61,73.89,3.5,90,6,"['alternative pop', 'electropop', 'dark pop']",9.84
Bruno Mars,27,66.41,3.68,90,1,"['pop', 'rnb', 'male vocalists', 'r&b', 'slow jams']",3.7
Kanye West,23,66.35,4.16,89,16,['rap'],69.57
Kendrick Lamar,11,72.55,3.43,89,8,"['hip hop', 'west coast hip hop']",72.73
Travis Scott,33,69.91,3.61,89,30,['rap'],90.91
Fuerza Regida,2,87.0,3.01,89,2,"['corrido', 'corridos tumbados', 'corridos bélicos', 'música mexicana', 'sierreño', 'banda', 'electro corridos', 'sad sierreño']",100.0
Tate McRae,48,66.25,2.84,88,29,['pop'],60.42
Eminem,67,56.25,4.44,88,66,"['rap', 'hip hop']",98.51
Ed Sheeran,53,60.28,3.89,88,1,['soft pop'],1.89
Future,24,66.17,3.59,88,24,['rap'],100.0
Morgan Wallen,5,51.4,2.92,88,2,['country'],40.0
Linkin Park,38,66.08,3.32,88,3,"['nu metal', 'rap metal', 'rock', 'alternative metal']",7.89
Coldplay,39,67.21,4.31,88,0,"['rock', 'alternative', 'britpop', 'alternative rock', 'indie']",0.0
Lana Del Rey,99,63.17,4.42,88,26,"['alternative pop', 'indie pop']",26.26
Lady Gaga,70,57.19,3.86,88,11,"['art pop', 'pop']",15.71
Olivia Dean,3,90.33,3.12,88,0,['pop soul'],0.0
David Guetta,27,60.96,3.27,87,4,['edm'],14.81
KAROL G,9,68.78,3.17,87,5,"['reggaeton', 'latin', 'urbano latino']",55.56
HUNTR/X,4,93.75,3.34,87,0,['k-pop'],0.0
SZA,16,70.88,3.03,87,10,['r&b'],62.5
Chris Brown,15,59.33,3.86,87,11,['r&b'],73.33
J Balvin,4,66.25,3.58,86,0,"['reggaeton', 'latin']",0.0
"Tyler, The Creator",8,68.25,3.18,86,8,"['hip-hop', 'rap', 'ofwgkta', 'underground hip-hop', 'swag']",100.0
Lil Wayne,8,36.62,4.33,86,6,"['rap', 'hip hop']",75.0
Post Malone,83,61.7,3.33,86,59,"['pop', 'hip hop', 'country']",71.08
Doja Cat,30,68.67,3.34,86,29,"['pop', 'rnb', 'rap', 'hip-hop', 'hip hop']",96.67
Playboi Carti,45,64.71,2.8,86,45,['rage rap'],100.0
Radiohead,40,62.28,4.13,85,1,"['art rock', 'alternative rock']",2.5
Don Toliver,4,60.25,3.41,85,2,"['rap', 'trap', 'hip-hop', 'rnb', 'hip hop']",50.0
Juice WRLD,7,60.86,3.59,85,7,"['melodic rap', 'emo rap']",100.0
Dua Lipa,42,55.81,3.39,85,4,['pop'],9.52
Olivia Rodrigo,68,60.57,3.05,85,25,"['pop rock', 'alternative pop', 'pop punk']",36.76
Daddy Yankee,2,37.5,3.28,85,0,"['reggaeton', 'latin']",0.0
Maroon 5,28,56.89,3.57,85,7,['pop'],25.0
Michael Jackson,21,69.05,4.55,85,0,"['pop', '80s', 'dance', 'soul', 'funk']",0.0
sombr,15,79.67,3.59,85,0,"['indie', 'alternative', 'rock', 'singer-songwriter', 'indie rock']",0.0
BTS,30,57.43,3.92,85,0,['k-pop'],0.0
Imagine Dragons,17,56.29,3.21,85,0,"['indie', 'indie rock', 'alternative', 'rock', 'indie pop']",0.0
Shakira,43,38.6,3.35,85,0,['latin pop'],0.0
Gunna,10,56.3,2.72,85,10,['melodic rap'],100.0
Daniel Caesar,3,29.33,4.52,85,1,"['rnb', 'soul', 'neo-soul', 'canadian', 'alternative rnb']",33.33
21 Savage,7,62.29,4.14,84,7,"['trap', 'hip-hop', 'rap', 'hip hop', 'atlanta']",100.0
Arctic Monkeys,10,79.8,3.58,84,0,"['indie', 'garage rock']",0.0
Frank Ocean,6,68.83,5.03,84,4,"['rnb', 'soul', 'hip-hop', 'r&b', 'ofwgkta']",66.67
Tame Impala,13,75.0,4.61,84,4,"['neo-psychedelic', 'indie']",30.77
Lil Baby,15,63.13,2.97,84,15,"['rap', 'hip-hop', 'hip hop', 'trap', 'atlanta']",100.0
Zach Bryan,2,84.0,3.51,84,0,"['country', 'red dirt']",0.0
Alex Warren,5,83.4,3.11,84,0,"['folk', 'pop', 'singer-songwriter', 'indie', 'indie folk']",0.0
Nicki Minaj,18,53.56,3.51,84,16,"['hip-hop', 'rap', 'rnb', 'pop', 'hip hop']",88.89
Calvin Harris,21,69.52,3.65,84,5,['edm'],23.81
Beyoncé,49,64.71,3.96,84,25,"['rnb', 'pop', 'female vocalists', 'soul', 'hip-hop']",51.02
Pitbull,22,58.14,3.59,84,6,"['hip-hop', 'rap', 'reggaeton', 'hip hop', 'crunk']",27.27
YoungBoy Never Broke Again,5,73.4,3.07,84,5,"['rap', 'trap', 'hip-hop', 'louisiana', 'gangsta rap']",100.0
Young Thug,4,69.5,3.94,84,4,"['rap', 'melodic rap', 'trap']",100.0
