Artist,Country
Taylor Swift,US
Bad Bunny,PR
Drake,CA
The Weeknd,CA
Justin Bieber,CA
Sabrina Carpenter,US
Ariana Grande,US
Rihanna,US
Billie Eilish,US
Bruno Mars,US
Kanye West,US
Kendrick Lamar,US
Travis Scott,US
Fuerza Regida,MX
Tate McRae,CA
SZA,US
Chris Brown,US
J Balvin,CO
"Tyler, The Creator",US
Lil Wayne,US
Post Malone,US
Doja Cat,US
Playboi Carti,US
Radiohead,GB
Don Toliver,US
Juice WRLD,US
Dua Lipa,GB
Olivia Rodrigo,US
Daddy Yankee,PR
Imagine Dragons,US
Shakira,CO
Gunna,US
Daniel Caesar,CA
21 Savage,US
Arctic Monkeys,GB
Frank Ocean,US
Tame Impala,AU
Lil Baby,US
Zach Bryan,US
Alex Warren,US
Nicki Minaj,US
Beyoncé,US
Pitbull,US
The Neighbourhood,US
Fleetwood Mac,GB
Twenty One Pilots,US
Luke Combs,US
Cigarettes After Sex,US
XXXTENTACION,US
Adele,GB
Lil Peep,US
J. Cole,US
The Beatles,GB
JAY-Z,US
Sia,AU
50 Cent,US
Lil Uzi Vert,US
Gracie Abrams,US
Queen,GB
Wiz Khalifa,US
Akon,SN
Daft Punk,FR
Justin Timberlake,US
Mac Miller,US
Cardi B,US
Nirvana,US
OneRepublic,US
Black Eyed Peas,US
Deftones,US
Britney Spears,US
Miley Cyrus,US
Joji,US
The Chainsmokers,US
Tiësto,NL
Trippie Redd,US
Guns N' Roses,US
Halsey,US
Green Day,US
Dave,US
Snoop Dogg,US
Bryson Tiller,US
Oasis,GB
Elton John,GB
USHER,US
Lorde,NZ
AC/DC,AU
Kodak Black,US
Lewis Capaldi,GB
Lil Tecca,US
Charlie Puth,US
The Kid LAROI,AU
Pharrell Williams,US
Paramore,US
Kid Cudi,US
Chase Atlantic,AU
Jung Kook,KR
Conan Gray,US
Mariah Carey,US
Slipknot,US
Miguel,US
P!nk,US
Nickelback,CA
Kehlani,US
Kesha,US
